Date,Amount,Account Number,,Transaction Type,Transaction Details,Balance,Category,Merchant Name,Processed On
28 Jan 26,-44.79,Card ending 3696,,CREDIT CARD PURCHASE,ALDI STORES LYNDHURST,62.86,Groceries,ALDI (Marriott Waters),28 Jan 26
27 Jan 26,-66.93,Card ending 3696,,CREDIT CARD PURCHASE,Ezypay*Air Locker TraininSydney,107.65,Gym & fitness,Air Locker,27 Jan 26
27 Jan 26,-15.99,Card ending 3696,,CREDIT CARD PURCHASE,Google Spotify Music Barangaroo,174.58,Subscriptions,Spotify,27 Jan 26
27 Jan 26,-79.22,Card ending 3696,,CREDIT CARD PURCHASE,Twisted Science Echuca,190.57,Attractions & events,TwistED Science (Echuca),27 Jan 26
27 Jan 26,-9.00,Card ending 3696,,CREDIT CARD PURCHASE,WOOLWORTHS/HALL RD CARRUM DOWNS,269.79,Groceries,Woolworths (Carrum Downs Regional Shopping Centre),27 Jan 26
27 Jan 26,-11.99,Card ending 3696,,CREDIT CARD PURCHASE,help.hbomax.com St. Leonards,278.79,Subscriptions,HBO Max,27 Jan 26
27 Jan 26,-130.30,Card ending 3696,,CREDIT CARD PURCHASE,BRIAN S GOURMET MEATS LYNDHURST,290.78,Groceries,Brian's Gourmet Meats,27 Jan 26
27 Jan 26,-24.99,Card ending 3696,,CREDIT CARD PURCHASE,BRIAN S GOURMET MEATS LYNDHURST,421.08,Groceries,Brian's Gourmet Meats,27 Jan 26
27 Jan 26,1500.00,Card ending 3696,,CREDIT CARD PAYMENT,INTERNET PAYMENT credit rebalance,446.07,Internal transfers,,27 Jan 26
27 Jan 26,-10.15,Card ending 3696,,CREDIT CARD PURCHASE,WOOLWORTHS/MARRIOTT BLVD LYNDHURST,-1053.93,Groceries,Woolworths (Marriott Waters),27 Jan 26
27 Jan 26,-16.00,Card ending 3696,,CREDIT CARD PURCHASE,Muffinbreak Cheltenham,-1043.78,Cafe & coffee,Muffin Break (Moorabbin DFO),27 Jan 26
27 Jan 26,-38.42,Card ending 3696,,CREDIT CARD PURCHASE,SMP*Monta Verde Restau Carrum Downs,-1027.78,Restaurants & takeaway,Monta Verde Restaurant & Take Away,27 Jan 26
27 Jan 26,29.99,Card ending 3696,,CREDIT CARD REFUND,AMAZON MARKETPLACE AU SYDNEY,-989.36,Refund,Amazon,27 Jan 26
27 Jan 26,-23.08,Card ending 3696,,CREDIT CARD PURCHASE,RITCHIES CARRUM DOWN CARRUM DOWNS,-1019.35,Groceries,Ritchies Supa IGA (Carrum Downs),27 Jan 26
27 Jan 26,-19.90,Card ending 3696,,CREDIT CARD PURCHASE,WOOLWORTHS/MARRIOTT BLVD LYNDHURST,-996.27,Groceries,Woolworths (Marriott Waters),27 Jan 26
27 Jan 26,-26.90,Card ending 3696,,CREDIT CARD PURCHASE,AVA SYNERGISTICS CURRUM DOWNS,-976.37,Pets,Nautilus Aquarium & Pet Supplies,27 Jan 26
27 Jan 26,-111.00,Card ending 3696,,CREDIT CARD PURCHASE,DAN MURPHY'S/941 THOMPSONLYNDHURST,-949.47,Alcohol,Dan Murphy's (Marriott Waters),27 Jan 26
27 Jan 26,-65.98,Card ending 3696,,CREDIT CARD PURCHASE,MARTHAS TABLE SAFETY BEACH,-838.47,Restaurants & takeaway,Martha's Table,27 Jan 26
27 Jan 26,-33.84,Card ending 3696,,CREDIT CARD PURCHASE,YOUNG STREET FRESH FOO FRANKSTON,-772.49,Groceries,Frankston Fresh Market,27 Jan 26
